iteration,cost,steel,concrete,prob_invalid,improved,no_improve,elapsed_sec
1,122676.61246875,1225.0498046875,17.1632,0.2907205042408064,True,0,1.0762443542480469
2,121611.2168046875,1214.354248046875,17.5792,0.10590282952856112,True,0,2.069361925125122
3,121611.2168046875,1214.354248046875,17.5792,0.10590282952856112,False,1,3.068671941757202
4,118823.4042265625,1186.455322265625,17.7872,0.05929427733674708,True,0,4.17513108253479
5,118796.40967578125,1186.2061767578125,17.5792,0.06463898334884455,True,0,5.378153085708618
6,118796.40967578125,1186.2061767578125,17.5792,0.06463898334884455,False,1,6.516373634338379
7,118508.5460625,1183.369140625,17.1632,0.08317860722239334,True,0,7.725178956985474
8,118508.5460625,1183.369140625,17.1632,0.08317860722239334,False,1,8.838837385177612
9,118484.55924609375,1183.1292724609375,17.1632,0.07985057608129398,True,0,9.818403720855713
10,117763.3752421875,1175.938232421875,16.9552,0.08269674143533545,True,0,10.816911458969116
11,117763.3752421875,1175.938232421875,16.9552,0.08269674143533545,False,1,11.825797080993652
12,117763.3752421875,1175.938232421875,16.9552,0.08269674143533545,False,2,12.844327688217163
13,117763.3752421875,1175.938232421875,16.9552,0.08269674143533545,False,3,13.896185398101807
14,117763.3752421875,1175.938232421875,16.9552,0.08269674143533545,False,4,14.878292322158813
15,117763.3752421875,1175.938232421875,16.9552,0.08269674143533545,False,5,15.842334985733032
16,117668.3172734375,1175.154052734375,15.2912,0.1744687631930395,True,0,16.84438419342041
17,117668.3172734375,1175.154052734375,15.2912,0.1744687631930395,False,1,17.8361759185791
18,117668.3172734375,1175.154052734375,15.2912,0.1744687631930395,False,2,18.857282638549805
19,117668.3172734375,1175.154052734375,15.2912,0.1744687631930395,False,3,19.84796953201294
20,117488.536921875,1173.33544921875,15.499200000000002,0.1788535543861578,True,0,20.918056964874268
21,117157.76780078125,1170.0069580078125,15.7072,0.12836935763579715,True,0,21.93192410469055
22,116785.70229296875,1166.2655029296875,15.9152,0.11834462940755708,True,0,22.920979976654053
23,116785.70229296875,1166.2655029296875,15.9152,0.11834462940755708,False,1,23.94319772720337
24,116785.70229296875,1166.2655029296875,15.9152,0.11834462940755708,False,2,24.95033860206604
25,116785.70229296875,1166.2655029296875,15.9152,0.11834462940755708,False,3,25.945549249649048
26,116785.70229296875,1166.2655029296875,15.9152,0.11834462940755708,False,4,26.980395317077637
27,116785.70229296875,1166.2655029296875,15.9152,0.11834462940755708,False,5,27.93474578857422
28,116669.60362109375,1165.0941162109375,16.0192,0.14648266903409257,True,0,28.916125774383545
29,115411.71326953125,1152.5880126953125,15.2912,0.17193657827808817,True,0,29.90168857574463
30,115411.71326953125,1152.5880126953125,15.2912,0.17193657827808817,False,1,30.901504516601562
31,115411.71326953125,1152.5880126953125,15.2912,0.17193657827808817,False,2,31.841334342956543
32,115411.71326953125,1152.5880126953125,15.2912,0.17193657827808817,False,3,32.836774826049805
33,115299.86932421874,1151.6375732421875,13.611200000000002,0.3892430321032503,True,0,33.83576798439026
34,115299.86932421874,1151.6375732421875,13.611200000000002,0.3892430321032503,False,1,34.87612199783325
35,115262.9803984375,1151.111083984375,15.1872,0.20517872190030095,True,0,35.87692451477051
36,115262.9803984375,1151.111083984375,15.1872,0.20517872190030095,False,1,36.84986996650696
37,115262.9803984375,1151.111083984375,15.1872,0.20517872190030095,False,2,37.88887143135071
38,115262.9803984375,1151.111083984375,15.1872,0.20517872190030095,False,3,38.896352767944336
39,115262.9803984375,1151.111083984375,15.1872,0.20517872190030095,False,4,39.88918375968933
40,115262.9803984375,1151.111083984375,15.1872,0.20517872190030095,False,5,40.883341789245605
41,115262.9803984375,1151.111083984375,15.1872,0.20517872190030095,False,6,41.87036347389221
42,115262.9803984375,1151.111083984375,15.1872,0.20517872190030095,False,7,42.8629937171936
43,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,True,0,43.924758434295654
44,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,1,44.89113974571228
45,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,2,45.92193412780762
46,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,3,46.88231706619263
47,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,4,47.86906957626343
48,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,5,48.83359670639038
49,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,6,49.8021559715271
50,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,7,50.774678230285645
51,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,8,51.781497955322266
52,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,9,52.83337163925171
53,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,10,53.82883620262146
54,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,11,54.81775450706482
55,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,12,55.810752868652344
56,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,13,56.81157565116882
57,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,14,57.7853479385376
58,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,15,58.8321053981781
59,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,16,59.81428575515747
60,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,17,60.934059619903564
61,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,18,61.91146755218506
62,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,19,62.88055396080017
63,114963.66639453125,1148.1075439453125,15.291200000000002,0.19696080735251598,False,20,63.86957406997681
